2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 8906.12 | return: -10.94% | trades: 78 | total cost: 0.1560
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 10109.44 | return: 1.09% | trades: 32 | total cost: 0.0640
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 10109.44 | return: 1.09% | trades: 32 | total cost: 0.0640
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 10109.44 | return: 1.09% | trades: 32 | total cost: 0.0640
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 10109.44 | return: 1.09% | trades: 32 | total cost: 0.0640
